year,population_group,age,number
2000,all_female,0,65058.49999999999
2000,all_female,0-4,314188
2000,all_female,1,64346.99999999999
2000,all_female,10,55449
2000,all_female,10-14,274216.5
2000,all_female,11,55087
2000,all_female,12,54754
2000,all_female,13,54534
2000,all_female,14,54392.5
2000,all_female,15,54045
2000,all_female,15-19,266054.5
2000,all_female,16,53879.5
2000,all_female,17,53468
2000,all_female,18,52482.5
2000,all_female,19,52179.5
2000,all_female,2,63075
2000,all_female,20,52271.5
2000,all_female,20-24,264215
2000,all_female,21,52147
2000,all_female,22,52505.5
2000,all_female,23,53520
2000,all_female,24,53771
2000,all_female,25,52086
2000,all_female,25-29,246796
2000,all_female,26,50192
2000,all_female,27,48977
2000,all_female,28,48171.5
2000,all_female,29,47369.5
2000,all_female,3,61348
2000,all_female,30,45219
2000,all_female,30-34,208937
2000,all_female,31,42943
2000,all_female,32,41013
2000,all_female,33,39935
2000,all_female,34,39827
2000,all_female,35,39395
2000,all_female,35-39,194481.5
2000,all_female,36,38773.5
2000,all_female,37,38524.5
2000,all_female,38,38543
2000,all_female,39,39245.5
2000,all_female,4,60359.5
2000,all_female,40,39481.5
2000,all_female,40-44,193058
2000,all_female,41,38719.5
2000,all_female,42,38250
2000,all_female,43,38080.5
2000,all_female,44,38526.5
2000,all_female,45,38244.5
2000,all_female,45-49,191288.5
2000,all_female,46,37905.5
2000,all_female,47,38530.5
2000,all_female,48,38533.5
2000,all_female,49,38074.5
2000,all_female,5,59236.5
2000,all_female,5-9,287533.5
2000,all_female,50,36002
2000,all_female,50-54,171967
2000,all_female,51,34524
2000,all_female,52,35967.5
2000,all_female,53,35212.5
2000,all_female,54,30261
2000,all_female,55,24829.5
2000,all_female,55-59,107277.5
2000,all_female,56,21281
2000,all_female,57,19871.5
2000,all_female,58,20113.5
2000,all_female,59,21182
2000,all_female,6,58167.5
2000,all_female,60,21905.5
2000,all_female,60-64,113404.5
2000,all_female,61,22665
2000,all_female,62,23720
2000,all_female,63,23200
2000,all_female,64,21914
2000,all_female,65,20662.5
2000,all_female,65-69,98995.5
2000,all_female,66,19604.5
2000,all_female,67,20056.5
2000,all_female,68,19362
2000,all_female,69,19310
2000,all_female,7,57711.5
2000,all_female,70,19661
2000,all_female,70-74,94502.5
2000,all_female,71,19062
2000,all_female,72,18764.5
2000,all_female,73,18358
2000,all_female,74,18657
2000,all_female,75,18597.5
2000,all_female,75-79,78989.5
2000,all_female,76,17779.5
2000,all_female,77,16350.000000000002
2000,all_female,78,13862
2000,all_female,79,12400.5
2000,all_female,8,56683.5
2000,all_female,80,11210
2000,all_female,80-84,40829.5
2000,all_female,81,9154.5
2000,all_female,82,7313
2000,all_female,83,6412.5
2000,all_female,84,6739.5
2000,all_female,85-89,28736
2000,all_female,9,55734.5
2000,all_female,90+,11313.5
2000,all_female,TOTAL,3186784
2000,all_male,0,68847
2000,all_male,0-4,331735.5
2000,all_male,1,67861.5
2000,all_male,10,58219.5
2000,all_male,10-14,287938
2000,all_male,11,57813.5
2000,all_male,12,57342
2000,all_male,13,57216
2000,all_male,14,57347
2000,all_male,15,57080
2000,all_male,15-19,280274
2000,all_male,16,57073.5
2000,all_male,17,56420
2000,all_male,18,55141.5
2000,all_male,19,54559
2000,all_male,2,66520.5
2000,all_male,20,54366.5
2000,all_male,20-24,272046.5
2000,all_male,21,54019.5
2000,all_male,22,53778.5
2000,all_male,23,54678
2000,all_male,24,55204
2000,all_male,25,53656.5
2000,all_male,25-29,251754
2000,all_male,26,51517
2000,all_male,27,49845
2000,all_male,28,48892.5
2000,all_male,29,47843
2000,all_male,3,64857.5
2000,all_male,30,45383
2000,all_male,30-34,207398.5
2000,all_male,31,42774.5
2000,all_male,32,40509.5
2000,all_male,33,39371
2000,all_male,34,39360.5
2000,all_male,35,38873
2000,all_male,35-39,188002
2000,all_male,36,37892.5
2000,all_male,37,37044.5
2000,all_male,38,36789.5
2000,all_male,39,37402.5
2000,all_male,4,63649
2000,all_male,40,37455
2000,all_male,40-44,182053
2000,all_male,41,36590.5
2000,all_male,42,36223.5
2000,all_male,43,35809.5
2000,all_male,44,35974.5
2000,all_male,45,35956
2000,all_male,45-49,179616
2000,all_male,46,35645.5
2000,all_male,47,36018
2000,all_male,48,36196.5
2000,all_male,49,35800
2000,all_male,5,62221
2000,all_male,5-9,302579.5
2000,all_male,50,33694
2000,all_male,50-54,160311
2000,all_male,51,32057.000000000004
2000,all_male,52,33395.5
2000,all_male,53,32802.5
2000,all_male,54,28362
2000,all_male,55,23519
2000,all_male,55-59,99263
2000,all_male,56,20140.5
2000,all_male,57,18287
2000,all_male,58,18271
2000,all_male,59,19045.5
2000,all_male,6,61329.5
2000,all_male,60,19307
2000,all_male,60-64,97562
2000,all_male,61,19703.5
2000,all_male,62,20218.5
2000,all_male,63,19745.5
2000,all_male,64,18587.5
2000,all_male,65,17321
2000,all_male,65-69,81116
2000,all_male,66,16257.5
2000,all_male,67,16136
2000,all_male,68,15668
2000,all_male,69,15733.5
2000,all_male,7,60771.5
2000,all_male,70,15410
2000,all_male,70-74,70234.5
2000,all_male,71,14410
2000,all_male,72,14008.5
2000,all_male,73,13409
2000,all_male,74,12997
2000,all_male,75,12586
2000,all_male,75-79,56155
2000,all_male,76,11964
2000,all_male,77,11376.5
2000,all_male,78,10468
2000,all_male,79,9760.5
2000,all_male,8,59579
2000,all_male,80,8472
2000,all_male,80-84,29068.5
2000,all_male,81,6541
2000,all_male,82,5240.5
2000,all_male,83,4454
2000,all_male,84,4361
2000,all_male,85-89,18064
2000,all_male,9,58678.5
2000,all_male,90+,7250.5
2000,all_male,TOTAL,3102421.5
2000,all_total,0,133905.5
2000,all_total,0-4,645923.5
2000,all_total,1,132208.5
2000,all_total,10,113668.5
2000,all_total,10-14,562154.5
2000,all_total,11,112900.5
2000,all_total,12,112096
2000,all_total,13,111750
2000,all_total,14,111739.5
2000,all_total,15,111125
2000,all_total,15-19,546328.5
2000,all_total,16,110953
2000,all_total,17,109888
2000,all_total,18,107624
2000,all_total,19,106738.5
2000,all_total,2,129595.49999999999
2000,all_total,20,106638
2000,all_total,20-24,536261.5
2000,all_total,21,106166.5
2000,all_total,22,106284
2000,all_total,23,108198
2000,all_total,24,108975
2000,all_total,25,105742.5
2000,all_total,25-29,498550
2000,all_total,26,101709
2000,all_total,27,98822
2000,all_total,28,97064
2000,all_total,29,95212.5
2000,all_total,3,126205.5
2000,all_total,30,90602
2000,all_total,30-34,416335.5
2000,all_total,31,85717.5
2000,all_total,32,81522.5
2000,all_total,33,79306
2000,all_total,34,79187.5
2000,all_total,35,78268
2000,all_total,35-39,382483.5
2000,all_total,36,76666
2000,all_total,37,75569
2000,all_total,38,75332.5
2000,all_total,39,76648
2000,all_total,4,124008.5
2000,all_total,40,76936.5
2000,all_total,40-44,375111
2000,all_total,41,75310
2000,all_total,42,74473.5
2000,all_total,43,73890
2000,all_total,44,74501
2000,all_total,45,74200.5
2000,all_total,45-49,370904.5
2000,all_total,46,73551
2000,all_total,47,74548.5
2000,all_total,48,74730
2000,all_total,49,73874.5
2000,all_total,5,121457.5
2000,all_total,5-9,590113
2000,all_total,50,69696
2000,all_total,50-54,332278
2000,all_total,51,66581
2000,all_total,52,69363
2000,all_total,53,68015
2000,all_total,54,58623
2000,all_total,55,48348.5
2000,all_total,55-59,206540.5
2000,all_total,56,41421.5
2000,all_total,57,38158.5
2000,all_total,58,38384.5
2000,all_total,59,40227.5
2000,all_total,6,119497
2000,all_total,60,41212.5
2000,all_total,60-64,210966.5
2000,all_total,61,42368.5
2000,all_total,62,43938.5
2000,all_total,63,42945.5
2000,all_total,64,40501.5
2000,all_total,65,37983.5
2000,all_total,65-69,180111.5
2000,all_total,66,35862
2000,all_total,67,36192.5
2000,all_total,68,35030
2000,all_total,69,35043.5
2000,all_total,7,118483
2000,all_total,70,35071
2000,all_total,70-74,164737
2000,all_total,71,33472
2000,all_total,72,32773
2000,all_total,73,31767
2000,all_total,74,31654
2000,all_total,75,31183.5
2000,all_total,75-79,135144.5
2000,all_total,76,29743.5
2000,all_total,77,27726.5
2000,all_total,78,24330
2000,all_total,79,22161
2000,all_total,8,116262.5
2000,all_total,80,19682
2000,all_total,80-84,69898
2000,all_total,81,15695.5
2000,all_total,82,12553.5
2000,all_total,83,10866.5
2000,all_total,84,11100.5
2000,all_total,85-89,46800
2000,all_total,9,114413
2000,all_total,90+,18564
2000,all_total,TOTAL,6289205.5
2000,arab_female,0,19236
2000,arab_female,0-4,91149.5
2000,arab_female,1,18892
2000,arab_female,10,14137
2000,arab_female,10-14,63769
2000,arab_female,11,13371.5
2000,arab_female,12,12697
2000,arab_female,13,12036.5
2000,arab_female,14,11527
2000,arab_female,15,11509
2000,arab_female,15-19,55501
2000,arab_female,16,11567.5
2000,arab_female,17,11235.5
2000,arab_female,18,10662
